"","Name","Season","Pos","through_4_years","after_2010","BPM","MP"
"1","Precious Achiuwa",2020,"PF",0,1,-4.5,737
"2","Precious Achiuwa",2021,"C",0,1,-6.8,232
"3","Ty-Shon Alexander",2020,"SG",0,1,-6.8,47
"4","Cole Anthony",2020,"PG",0,1,-3.3,1273
"5","Cole Anthony",2021,"PG",0,1,0.7,343
"6","Deni Avdija",2020,"SF",0,1,-3.9,1257
"7","Deni Avdija",2021,"SF",0,1,-2.1,192
"8","Udoka Azubuike",2020,"C",0,1,-4.9,57
"9","LaMelo Ball",2020,"PG",0,1,1.9,1469
"10","LaMelo Ball",2021,"PG",0,1,4.3,303
"11","Desmond Bane",2020,"SG",0,1,-1,1519
"12","Desmond Bane",2021,"SF",0,1,-0.8,261
"13","Saddiq Bey",2020,"SF",0,1,-0.8,1909
"14","Saddiq Bey",2021,"SF",0,1,-1.7,295
"15","Tyler Bey",2020,"SF",0,1,-9.6,71
"16","Keljin Blevins",2020,"SF",0,1,-12,75
"17","Amida Brimah",2020,"C",0,1,-4,29
"18","Armoni Brooks",2020,"SG",0,1,-3.3,520
"19","Armoni Brooks",2021,"SG",0,1,-3.1,48
"20","Elijah Bryant",2020,"SG",0,1,-7.7,32
"21","Facundo Campazzo",2020,"PG",0,1,-0.8,1425
"22","Facundo Campazzo",2021,"PG",0,1,-2.2,158
"23","Devin Cannady",2020,"PG",0,1,-3.1,74
"24","Vernon Carey Jr.",2020,"C",0,1,-6.2,115
"25","Vernon Carey Jr.",2021,"C",0,1,-45.2,1
"26","Nate Darling",2020,"SG",0,1,-4.2,26
"27","Gabriel Deck",2020,"PF",0,1,-0.4,212
"28","Gabriel Deck",2021,"PF",0,1,3.4,19
"29","Mamadi Diakite",2020,"PF",0,1,-2.7,141
"30","Devon Dotson",2020,"PG",0,1,2.1,50
"31","Anthony Edwards",2020,"SG",0,1,-2.6,2314
"32","Anthony Edwards",2021,"SG",0,1,-0.4,282
"33","CJ Elleby",2020,"SF",0,1,-5.6,192
"34","CJ Elleby",2021,"SF",0,1,-14.1,32
"35","Malik Fitts",2020,"PF",0,1,-10.2,11
"36","Malik Fitts",2021,"PF",0,1,-3.7,7
"37","Malachi Flynn",2020,"PG",0,1,-2.8,928
"38","Malachi Flynn",2021,"PG",0,1,8.4,29
"39","Trent Forrest",2020,"PG",0,1,-2.2,302
"40","Trent Forrest",2021,"PG",0,1,-7.7,36
"41","Robert Franks",2020,"PF",0,1,-0.3,101
"42","Anthony Gill",2020,"PF",0,1,-1.2,218
"43","Freddie Gillespie",2020,"PF",0,1,-3.2,392
"44","Josh Green",2020,"SG",0,1,-3.7,445
"45","Josh Green",2021,"SG",0,1,-9.7,34
"46","Ashton Hagans",2020,"PG",0,1,-21.7,4
"47","Tyrese Haliburton",2020,"PG",0,1,1.1,1746
"48","Tyrese Haliburton",2021,"SG",0,1,3,292
"49","Josh Hall",2020,"SF",0,1,-12.1,336
"50","R.J. Hampton",2020,"PG",0,1,-5.6,233
"51","R.J. Hampton",2020,"PG,SG",0,1,-3.8,888
"52","R.J. Hampton",2020,"SG",0,1,-3.2,655
"53","R.J. Hampton",2021,"SG",0,1,-4.6,178
"54","Jalen Harris",2020,"SG",0,1,0.6,172
"55","Killian Hayes",2020,"PG",0,1,-7.3,670
"56","Killian Hayes",2021,"PG",0,1,-6.3,197
"57","Nate Hinton",2020,"SG",0,1,-4.2,93
"58","Markus Howard",2020,"SG",0,1,-9,205
"59","Markus Howard",2021,"SG",0,1,-8.7,9
"60","Elijah Hughes",2020,"SF",0,1,-3.7,64
"61","Elijah Hughes",2021,"SF",0,1,-11.6,10
"62","Isaiah Joe",2020,"SG",0,1,-3.5,383
"63","Isaiah Joe",2021,"SG",0,1,-11.4,54
"64","Mason Jones",2020,"SG",0,1,-0.4,668
"65","Tre Jones",2020,"PG",0,1,-3.4,269
"66","Tre Jones",2021,"PG",0,1,-2.6,52
"67","Nathan Knight",2020,"PF",0,1,-3.8,279
"68","Nathan Knight",2021,"PF",0,1,7.3,4
"69","Anthony Lamb",2020,"SF",0,1,-5.8,415
"70","Saben Lee",2020,"PG",0,1,-1.9,781
"71","Saben Lee",2021,"PG",0,1,-9,27
"72","Kira Lewis Jr.",2020,"PG",0,1,-3.8,904
"73","Kira Lewis Jr.",2021,"PG",0,1,-12.4,145
"74","Didi Louzada",2020,"SF",0,1,-9.8,56
"75","Didi Louzada",2021,"SF",0,1,-13.3,7
"76","Will Magnay",2020,"C",0,1,-39.6,3
"77","Théo Maledon",2020,"PG",0,1,-5.2,1778
"78","Théo Maledon",2021,"PG",0,1,-12.7,121
"79","Karim Mané",2020,"PG",0,1,-9.9,88
"80","Nico Mannion",2020,"PG",0,1,-4.1,364
"81","Naji Marshall",2020,"SF",0,1,-1.2,700
"82","Naji Marshall",2021,"SF",0,1,-6.4,151
"83","Kenyon Martin Jr.",2020,"SF",0,1,-1.8,1068
"84","Kenyon Martin Jr.",2021,"SF",0,1,4.2,113
"85","Dakota Mathias",2020,"SG",0,1,-3.6,123
"86","Tyrese Maxey",2020,"SG",0,1,-1.9,935
"87","Tyrese Maxey",2021,"PG",0,1,-2.4,347
"88","Skylar Mays",2020,"SG",0,1,1.6,269
"89","Skylar Mays",2021,"SG",0,1,10.2,15
"90","Jaden McDaniels",2020,"PF",0,1,-3.8,1511
"91","Jaden McDaniels",2021,"PF",0,1,-6.1,201
"92","Sean McDermott",2020,"SF",0,1,-5.1,158
"93","Sam Merrill",2020,"SG",0,1,-1.4,233
"94","Sam Merrill",2021,"SG",0,1,-10.2,38
"95","Aaron Nesmith",2020,"SF",0,1,-3.2,669
"96","Aaron Nesmith",2021,"SF",0,1,-7.6,69
"97","Zeke Nnaji",2020,"PF",0,1,-2.1,397
"98","Zeke Nnaji",2021,"PF",0,1,11.9,10
"99","Jordan Nwora",2020,"SF",0,1,-1.3,274
"100","Jordan Nwora",2021,"SF",0,1,-3.9,206
"101","Chuma Okeke",2020,"PF",0,1,-1.4,1133
"102","Chuma Okeke",2021,"PF",0,1,-1.9,73
"103","Onyeka Okongwu",2020,"C",0,1,-1.3,601
"104","Isaac Okoro",2020,"SG",0,1,-5,2173
"105","Isaac Okoro",2021,"SF",0,1,-3.3,108
"106","Cameron Oliver",2020,"SF",0,1,-2.4,87
"107","Daniel Oturu",2020,"C",0,1,-5.6,161
