PLAYER,YEAR,POS,NO SHOES,WITH SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE,3/4 SPRINT,STD VERT,MAX VERT,BENCH,BODY FAT %,HAND L,HAND W
A.J. Granger,2000,WING,79.50,,103.0,227.0,81.50,2.00,,3.25,30.0,34.0,20,,,
A.J. Guyton,2000,COMBO G,72.75,,97.5,175.0,75.75,3.00,,3.22,33.0,37.5,9,,,
A.J. Price,2009,PG,72.50,74.00,97.0,192.8,75.75,3.25,,3.22,26.0,31.0,11,12.4%,,
Aaron Brooks,2007,PG,70.00,71.75,94.0,161.0,76.00,6.00,,3.20,32.5,39.5,6,2.7%,,
Aaron Craft,2014,PG,72.75,73.75,94.5,191.6,74.00,1.25,2.90,3.26,29.0,32.0,,6.1%,7.75,8.50
Aaron Gordon,2014,BIG,79.50,80.75,105.0,220.1,83.75,4.25,2.76,3.27,32.5,39.0,,5.1%,8.75,10.50
Aaron Gray,2007,BIG,84.00,85.75,108.5,271.0,87.25,3.25,,3.70,27.0,32.5,17,10.8%,,
Aaron Harrison,2015,WING,76.50,78.00,100.5,209.2,80.25,3.75,,3.27,28.5,34.5,1,6.0%,8.75,10.00
Aaron Holiday,2018,PG,71.75,72.75,97.0,187.0,79.50,7.75,3.22,3.27,25.5,33.0,,6.4%,8.75,8.50
Aaron McGhee,2002,COMBO F,79.00,,105.5,255.0,82.00,3.00,,,26.0,28.5,,,,
Aaron Miles,2005,PG,72.00,73.50,94.0,174.6,75.50,3.50,,3.22,32.0,37.5,7,,,
Aaron White,2015,COMBO F,79.75,80.75,106.5,219.8,83.50,3.75,3.15,3.38,30.0,35.0,7,8.0%,8.75,9.25
Acie Law,2007,PG,74.00,75.50,98.0,186.0,78.50,4.50,,3.22,29.0,34.0,8,5.6%,,
Adam Allenspach,2001,BIG,83.50,,107.0,259.0,84.50,1.00,,3.40,28.5,31.0,16,12.4%,,
Adam Morrison,2006,WING,78.50,79.75,105.0,198.0,82.00,3.50,,3.37,25.5,30.5,11,6.8%,,
Admiral Schofield,2019,COMBO F,76.00,77.25,102.5,240.6,81.75,5.75,2.87,3.37,30.0,34.0,15,6.8%,8.75,9.00
Adonis Thomas,2013,WING,76.75,77.75,99.0,231.8,85.00,8.25,3.11,3.32,34.5,40.5,13,7.5%,9.25,9.50
