"","Name","Season","Pos","through_4_years","after_2010","BPM","MP"
"1","Courtney Alexander",2000,"PG",0,0,-4.6,2764
"2","Courtney Alexander",2001,"SG",0,0,-2.2,1325
"3","Courtney Alexander",2002,"PG",0,0,-4.5,1360
"4","Dalibor Bagaric",2000,"C",0,0,-10,259
"5","Dalibor Bagaric",2001,"C",0,0,-7.2,638
"6","Dalibor Bagaric",2002,"C",0,0,-6.9,76
"7","Erick Barkley",2000,"PG",0,0,-7.7,38
"8","Erick Barkley",2001,"PG",0,0,-3,228
"9","Raja Bell",2000,"SG",1,0,-9.4,30
"10","Raja Bell",2001,"SG",1,0,-3.3,890
"11","Raja Bell",2002,"SG",1,0,-1.8,1173
"12","Raja Bell",2003,"SG",1,0,-2,2020
"13","Mark Blount",2000,"C",1,0,-3.1,1098
"14","Mark Blount",2001,"C",1,0,-4.1,415
"15","Mark Blount",2002,"C",1,0,-2.83333333333333,2806
"16","Mark Blount",2003,"C",1,0,-0.5,2402
"17","Brian Cardinal",2000,"PF",1,0,-6.3,126
"18","Brian Cardinal",2001,"PF",1,0,2,43
"19","Brian Cardinal",2002,"PF",1,0,-2.8,15
"20","Brian Cardinal",2003,"PF",1,0,3.2,1634
"21","Mateen Cleaves",2000,"PG",1,0,-5.2,1268
"22","Mateen Cleaves",2001,"PG",1,0,-7.2,153
"23","Mateen Cleaves",2002,"PG",1,0,-16.2,55
"24","Mateen Cleaves",2003,"PG",1,0,-5.2,92
"25","Jason Collier",2000,"C",1,0,-6.5,222
"26","Jason Collier",2001,"C",1,0,-5.2,365
"27","Jason Collier",2002,"C",1,0,-1.4,104
"28","Jason Collier",2003,"C",1,0,-3.6,545
"29","Sean Colson",2000,"PG",0,0,-10.6666666666667,88
"30","Jamal Crawford",2000,"PG",1,0,-4.4,1050
"31","Jamal Crawford",2001,"PG",1,0,-0.2,481
"32","Jamal Crawford",2002,"PG",1,0,0.4,1992
"33","Jamal Crawford",2003,"SG",1,0,1.4,2811
"34","Keyon Dooling",2000,"PG",1,0,-2.5,1237
"35","Keyon Dooling",2001,"PG",1,0,-5,155
"36","Keyon Dooling",2002,"SG",1,0,-3,969
"37","Keyon Dooling",2003,"PG",1,0,-3.9,1137
"38","Khalid El-Amin",2000,"PG",0,0,-2.4,936
